3 fois/ semaine
2 fois/ semaine
3 fois/ semaine
3 fois/ semaine
2 fois/ semaine
3 fois/ semaine
3 fois/ semaine
2 fois/ semaine
3 fois/ semaine
2 fois/ semaine
2 a 3 fois / semaine
2 fois/ semaine
2 fois/ semaine
2 a 3 fois / semaine
2 fois/ semaine
2 fois/ semaine
2 fois/ semaine
2 fois/ semaine
2 a 3 fois / semaine
2 fois/ semaine
2 a 3 fois / semaine
2 fois/ semaine
2 fois/ semaine
2 fois/ semaine
2 fois/ semaine
2 fois/ semaine
2 a 3 fois / semaine
2 a 3 fois / semaine
4fois/mois
3fois/mois
2fois/mois
1fois/mois
2fois/mois
6fois/mois
3fois/mois
4fois/mois
3fois/mois
3fois/mois
1fois/mois
4fois/mois
8fois/mois
2fois/mois
8fois/mois
1fois/mois
2fois/mois
3fois/mois
4fois/semaine
3fois/mois
4fois/mois
8fois/mois
2fois/mois
2fois/mois
5fois/mois
3fois/semaine
2fois/semaine
3fois/mois
4fois/mois
6fois/mois
5fois/mois
8fois/mois
2 par semaine
2 par semaine
3 par semaine
2 par semaine
3 par semaine
2 par semaine
2 par semaine
1 fois par semaine
2 par semaine
3 par semaine
1 par semaine
2 par semaine
1 fois par semaine
2 par semaine
3 par semaine
4 par semaine
4 ou 5 par semaine
4 fois par semaine
2 par semaine
4 par semaine
3 par semaine
3 par semaine
1 fois par semaine
2 par semaine
1 fois par semaine
1 fois par semaine
5 par semaine
1 fois par semaine
3 par semaine
2 jusqu a 4 par semaine
3 par semaine
2 par semaine
3 ou 4 par semaine
1 fois/semaine
1 fois / semaine
2 fois / semaine
1 fois / semaine
2 fois / semaine
1 /semaine
pas beaucoup
3 par semaine
3 fois semaine
2 jusqu'à 3 fois / semaine
1 jusqu'à 2 fois / semaine
2/mois
2-3 fois / semaine
1/mois
7 / semaine
1 fois / semaine
4 fois / semaine
4 fois / semaine
2 fois / semaine
pas trop
2/mois
1 fois / 2 semaine
1 fois / semaine
4 fois / semaine
1 fois / semaine
1 semaine
3 fois par semaine
1fois/semaine
2fois/semaine
2fois/semaine
1fois/semaine
2 mois
3fois/semaine
2 a3 fois/semaine
4 mois
4fois/mois
6paquets/mois
2 a 3 fois/semaine
2 fois /semaine
4fois/semaine
2fois/semaine
2 a 3 fois/semaine
1 fois/semaine
4 fois/semaine
2fois/semaine
2 a 3 fois/semaine
2fois/semaine
3 fois/semaine
4fois/semaine
1fois/semaine
2fois/semaine
5fois/semaine
2fois/semaine
2fois/mois
7 fois / semaine
1fois/mois
1 ou 2 fois chaque 2 mois
7 fois / semaine
2fois/semaine
2fois/mois
1fois/semaine
1fois/mois
2fois/semaine
1fois/semaine
1fois/semaine
3fois/semaine
2fois/semaine
2fois/semaine
7 fois / semaine
2fois/semaine
2fois/semaine
2fois/semaine
2fois/semaine
2fois/semaine
1fois/semaine
1fois/mois
2fois/semaine
3fois/semaine
2fois/semaine
2fois/semaine
1fois/semaine
2fois/semaine
1fois/semaine
1fois/semaine
3fois/semaine
2fois/semaine
1 fois/mois
1fois/2semaine
1fois/semaine
3fois/semaine
2fois/semaine
1fois/semaine
2fois/semaine
1fois/semaine
2fois/semaine
1fois/mois
2fois/semaine
1fois/semaine
1fois/semaine
3fois/semaine
2fois/semaine
2 fois/semaine
1fois/semaine
2fois/semaine
3fois/semaine
2fois/semaine
3fois/semaine
2fois/semaine
1 fois par semaine
2fois/semaine
2fois/semaine
1fois par semaine
2 à 3 fois par semaine
4 / semaine
2fois/semaine
2fois/semaine
3 fois / semaine
2fois/semaine
3 fois / semaine
2fois/semaine
4 fois/semaine
2 fois par semaine
2fois/semaine
3fois/semaine
1 à deux fois/semaine
2fois/semaine
2fois/semaine
2fois/semaine
2fois/semaine
3fois/semaine
2fois/semaine
1 fois par semaine
2fois/semaine
2fois/semaine
3 fois/semaine
2fois/semaine
1fois par semaine
2 à 3 fois / mois
2fois/semaine
2 à 3 fois/semaine
2fois/semaine
3 fois/semaine
1 fois/semaine
2 fois par semaine
3/mois
1fois par semaine
2fois/semaine
2fois/semaine
1 fois par semaine
1 fois par semaine
2fois/semaine
3/mois
3 fois/mois
4/semaine
2/semaine
1-2 /semaine
1 /semaine
3 fois / semaine
1/semaine
2/semaine
2/semaine
1-2 /semaine
1 /semaine
1 /semaine
1 /semaine
4/semaine
2/semaine
1 fois par semaine
2fois/semaine
3/mois
3 fois/mois
4/semaine
2/semaine
1-2 /semaine
3 fois/semaine
1 fois/semaine
1 fois/semaine
2 fois/semaine
2 fois/semaine
1 fois/semaine
2 fois/semaine
2 fois/semaine
1-2 fois/semaine
3 fois/semaine
4 fois/ semaine
1/semaine
2/semaine
1/semaine
1/mois
2-3/semaine
2-3/mois
8 fois/mois
1 fois/2mois
1/mois
1 fois par quinzaine
3 a 5 fois par semaine
2 fois par semaine
1 fois par semaine
1 a 2 fois par mois
3 a 4 fois par semaine
2 a 5 fois par semaine
2 fois par semaine
4  a 5 fois par semaine
2 fois par semaine
7 fois / semaine
1 a 2 fois par semaine
2-3/semaine
2/mois
1/mois
7/mois
3-4/semaine
2/semaine
1/semaine
2/semaine
1/semaine
2-4/semaine
4/semaine
2/semaine
1/semaine
2/semaine
2/semaine
1/semaine
1 fois / semaine
1 fois / semaine
1 fois / semaine
3 fois / mois
1 fois / semaine
3 fois / mois
1 fois / semaine
3 fois / mois
1 fois / semaine
1 fois / semaine
2 fois / mois
1 fois / semaine
1fois/mois
6 fois/mois
3 fois / mois
3 fois / mois
4 fois / mois
3 fois / mois
2 / mois
3 fois / mois
3 fois / mois
3 fois / mois
1 fois / semaine
2 fois / semaine
2 fois / semaine
2 fois / semaine
9  / mois
2 fois / semaine
1 fois / semaine
2 fois / semaine
1 fois / semaine
3 fois/semaine
1 fois/semaine
1 fois/semaine
2 fois/ semaine
2/semaine
1-2 /semaine
5/mois
3 fois/mois
4/semaine
2/semaine
1 fois/semaine
1 fois/semaine
2 fois/semaine
1 fois/semaine
4fois /semaine
1 fois/semaine
2fois/semaine
3fois/semaine
2fois/semaine
2fois/semaine
3fois/semaine
1 fois par semaine
2 fois par semaine
2fois/semaine
2fois par semaine
2fois/semaine
2 par semaine
2 fois par semaine
2 fois /semaine
2fois/semaine
2fois / semaine
2fois/semaine
3 fois / semaine
2fois/semaine
2fois/semaine
2 fois/ semaine
2fois/semaine
3fois/semaine
2 fois/semaine
2fois/semaine
2fois/semaine
2fois/semaine
3fois/semaine
2fois/semaine
2 fois/semaine
2fois/semaine
2 fois/semaine
1 fois/semaine
2 fois par semaine
plusieurs fois (repas/salade)
1fois par semaine
2fois/semaine
1 fois / semaine
1 fois / semaine
2 fois / semaine
1 fois / semaine
5 fois / mois
1 fois / semaine
3 fois / mois
5 fois / mois
2 fois / mois
5 fois / mois
1 fois / semaine
3 fois / mois
6 fois / mois
5 fois / mois
1 fois / semaine
1 fois / semaine
1 fois / semaine
3 fois / mois
1 fois / semaine
3 fois / mois
1 fois / semaine
3 fois / mois
3 fois / mois
1 fois / semaine
1 fois / semaine
1 fois / semaine
3 fois / mois
5 fois / mois
1 fois / semaine
3 fois / mois
1 fois / semaine
1 fois / semaine
1 fois / semaine
2 fois / mois
3 fois/ mois
4 fois / semaine
2 fois / semaine
3 fois / semaine
1 fois / semaine
2 fois / semaine
1 fois / semaine
4 fois / mois
1 fois / semaine
"2,3 fois / semaine"
"1,2 fois / semaine"
1 fois / semaine
2 fois / semaine
1 fois / semaine
1/mois
2/mois
1/semaine
"1,2/semaine"
"1,2/semaine"
"1,2/mois"
"1,2/mois"
1/semaine
1/semaine
"1,2/mois"
2/mois
2/mois
"1,2/mois"
"1,2/mois"
"1,2/mois"
1/mois
1/mois
"1,2/mois"
2/mois
1/semaine
"1,2/mois"
1/mois
"1,2/mois"
